player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.number,player.position,player.photo
785,C. Ünder,Cengiz,Ünder,28,1997-07-14,Balıkesir,Türkiye,Türkiye,173 cm,66 kg,20,Midfielder,https://media.api-sports.io/football/players/785.png
162004,B. Elmaz,Bartuğ,Elmaz,22,2003-02-19,Tekirdağ,Türkiye,Türkiye,179 cm,72 kg,28,Midfielder,https://media.api-sports.io/football/players/162004.png
18947,M. Lemina,Mario René Junior,Lemina,32,1993-09-01,Libreville,Gabon,Gabon,184 cm,85 kg,5,Midfielder,https://media.api-sports.io/football/players/18947.png
113,G. Nkoudou,Georges-Kévin,Nkoudou Mbida,30,1995-02-13,Versailles,France,Cameroon,172 cm,75 kg,10,Midfielder,https://media.api-sports.io/football/players/113.png
1465,P. Aubameyang,Pierre-Emerick Emiliano Franço,Aubameyang,36,1989-06-18,Laval,France,Gabon,187 cm,80 kg,10,Attacker,https://media.api-sports.io/football/players/1465.png
10122,Renan Lodi,Renan Augusto,Lodi dos Santos,27,1998-04-08,Serrana,Brazil,Brazil,173 cm,68 kg,12,Defender,https://media.api-sports.io/football/players/10122.png
84054,E. Sala,Emiliano,Sala,34,1990-10-31,Cululu' las Colonias,Argentina,Argentina,187 cm,75 kg,,Attacker,https://media.api-sports.io/football/players/84054.png
87362,S. Armand,Sylvain,Armand,45,1980-08-01,Saint-Etienne,France,France,182 cm,82 kg,,Defender,https://media.api-sports.io/football/players/87362.png
113900,O. Monterrubio,Olivier,Monterrubio,49,1976-08-08,Gaillac,France,France,176 cm,64 kg,,Midfielder,https://media.api-sports.io/football/players/113900.png
48156,Kolbeinn Sigþórsson,Kolbeinn,Sigþórsson,35,1990-03-14,Reykjavík,Iceland,Iceland,185 cm,84 kg,,Attacker,https://media.api-sports.io/football/players/48156.png
113646,G. N'Daw,Guirane,N'Daw,41,1984-04-24,Rufisque,Senegal,Senegal,190 cm,79 kg,,Midfielder,https://media.api-sports.io/football/players/113646.png
113845,M. Cetto,Mauro,Cetto,43,1982-04-14,Rosario,Argentina,Argentina,182 cm,78 kg,,Defender,https://media.api-sports.io/football/players/113845.png
30499,K. Djidji,Lévy Koffi,Djidji,32,1992-11-30,Bagnolet,France,Côte d'Ivoire,184 cm,71 kg,26,Defender,https://media.api-sports.io/football/players/30499.png
21591,A. Delort,Andy,Delort,34,1991-10-09,Sete,France,Algeria,182 cm,82 kg,9,Attacker,https://media.api-sports.io/football/players/21591.png
21082,Lucas Lima,Lucas Pedro,Alves de Lima,34,1991-10-10,Estação,Brazil,Brazil,179 cm,72 kg,60,Defender,https://media.api-sports.io/football/players/21082.png
21498,M. Coco,Marcus Regis,Coco,29,1996-06-24,Les abymes,Guadeloupe,France,184 cm,79 kg,11,Attacker,https://media.api-sports.io/football/players/21498.png
21647,Y. Bammou,Yacine,Bammou,34,1991-09-11,Paris,France,Morocco,189 cm,78 kg,10,Attacker,https://media.api-sports.io/football/players/21647.png
21582,F. Mollet,Florent,Mollet,34,1991-11-19,Fontaine-lès-Dijon,France,France,170 cm,67 kg,25,Midfielder,https://media.api-sports.io/football/players/21582.png
21095,Lucas Evangelista,Lucas,Evangelista Santana de Oliveir,30,1995-02-06,Limeira,Brazil,Brazil,183 cm,79 kg,8,Midfielder,https://media.api-sports.io/football/players/21095.png
365742,M. Diaz,Michel Junior,Diaz,22,2003-07-23,Saint-Herblain,France,Côte d'Ivoire,193 cm,87 kg,4,Defender,https://media.api-sports.io/football/players/365742.png
21088,N. Pallois,Nicolas,Pallois,38,1987-09-19,Elbeuf,France,France,190 cm,89 kg,4,Defender,https://media.api-sports.io/football/players/21088.png
21497,L. Blas,Ludovic Régis,Arsène Blas,28,1997-12-31,Colombes,France,France,180 cm,70 kg,11,Midfielder,https://media.api-sports.io/football/players/21497.png
161622,M. Abline,Matthis,Abline,22,2003-03-28,,France,France,176 cm,67 kg,39,Attacker,https://media.api-sports.io/football/players/161622.png
20654,F. Centonze,Fabien,Centonze,29,1996-01-16,Voiron,France,France,182 cm,75 kg,28,Defender,https://media.api-sports.io/football/players/20654.png
21103,A. Touré,Abdoulaye,Touré,31,1994-03-03,Nantes,France,France,188 cm,84 kg,94,Midfielder,https://media.api-sports.io/football/players/21103.png
